2026-04-06T10:33:22,failure,admin,10.47.97.227,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/146.0.0.0 Safari/537.36
2026-04-06T10:33:28,success,admin,10.47.97.227,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/146.0.0.0 Safari/537.36
2026-04-09T14:19:20,success,admin,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/146.0.0.0 Safari/537.36
2026-04-10T13:44:55,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
2026-04-10T13:56:29,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
2026-04-10T13:59:05,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
2026-04-10T14:46:09,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
2026-04-10T15:29:23,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
2026-04-10T17:21:24,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
2026-04-10T18:07:52,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
2026-04-11T11:05:25,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
2026-04-11T11:48:40,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
2026-04-11T13:26:20,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
2026-04-11T14:52:47,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
2026-04-12T14:02:22,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
2026-04-12T14:18:55,success,admin,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
